Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,longName,sector,industry,country,marketCap,beta,trailingPE,forwardPE,dividendYield,returnOnEquity,trailingEps,totalRevenue
2020-10-19 00:00:00-04:00,116.81966187710711,117.26761901216874,112.6322326077899,112.94385528564453,120639300,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-20 00:00:00-04:00,113.15807306769803,115.86530350302661,112.60299502286628,114.43378448486328,124423700,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-21 00:00:00-04:00,113.61578568990575,115.60238301966777,113.40154370880339,113.81055450439453,89946000,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-22 00:00:00-04:00,114.37534235792785,114.94990095736752,111.59021202627706,112.7198486328125,101988000,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-23 00:00:00-04:00,113.34310783010538,113.49892286939378,111.28834343492714,112.02845001220703,82572600,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-26 00:00:00-04:00,111.02540970017918,113.49891761177703,109.92498646777234,112.0381851196289,111850700,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-27 00:00:00-04:00,112.46665719622837,114.20979879352078,111.54152962594779,113.54759979248047,92276800,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-28 00:00:00-04:00,112.03819046643926,112.4082400407623,108.19159026240904,108.28897094726562,143937800,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-29 00:00:00-04:00,109.42834593101287,113.86897045793137,109.26279059723784,112.30111694335938,146129200,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-10-30 00:00:00-04:00,108.15264357304628,109.058298117793,104.90008242224502,106.01023864746094,190272600,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-11-02 00:00:00-05:00,106.25368777978908,107.7825875731632,104.51054602064647,105.9225845336914,122866900,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-11-03 00:00:00-05:00,106.78930171860765,108.57138995878809,105.88364715111534,107.54888153076172,107624400,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-11-04 00:00:00-05:00,111.15201031363652,112.56404883306527,109.40886854661319,111.94080352783203,138235500,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-11-05 00:00:00-05:00,114.86227219398131,116.48856015953854,113.81055035278919,115.91400146484375,126387100,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-11-06 00:00:00-05:00,115.42137974783128,116.27981870511474,113.28502829338409,115.78231811523438,114457900,0.205,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-11-09 00:00:00-05:00,117.54798100128589,119.00147677375341,113.2070004475286,113.47038269042969,154515300,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-11-10 00:00:00-05:00,112.71923542912484,114.7092525422394,111.33401722344382,113.12894439697266,138023400,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
2020-11-11 00:00:00-05:00,114.3190413926465,116.69926037123791,113.58741515100226,116.56269073486328,112295000,0.0,0.0,Apple Inc.,Technology,Consumer Electronics,United States,3164715352064,1.165,32.359634,25.661852,0.49,1.49814,6.59,408624988160
